instrument,run_name,run_id,operator
helga,H-69,b4e990ad-daad-4f29-b8ac-44aad8ae1bb9,Maddy
helga,H-70,0928934b-5486-4b14-9da8-c00ecf19535b,Maddy
helga,H-71,81ea4be3-ec67-4eed-a6be-0a7346b944fc,Maddy
helga,H-72,fff20401-bf91-4f87-856e-5bbd0845f7f4,Maddy
helga,H-73,5500acd6-f45c-45e2-8c93-be683674a475,Maddy
helga,H-74,44f84df5-43be-49e6-87bb-f811af0f4007,Maddy
helga,H-75,6610c25a-f096-4cf4-8aef-17c04ac6dedd,Maddy
helga,H-76,709ae8f8-0691-422c-817d-78b3f9ab520c,Maddy
helga,H-77,1129b82c-5687-4d34-9f94-ea906c08d33c,Maddy
helga,H-78,0e7e4c89-70fa-4ca1-a431-7bd44788284c,Maddy
helga,H-79,a9835e28-f17d-44b9-8d3e-6f532699255f,Maddy
helga,H-80,151ed772-27de-40d0-9bae-42c62901d045,Maddy
helga,H-81,b7084048-2e35-4b5d-b2a7-573ef3055af4,Maddy
helga,H-82,e911e2e4-e4f4-4889-bb29-ba48ee6d6bcb,Maddy
helga,H-83,9783b172-c3bf-48ad-b059-1d2fb09486be,Maddy
helga,H-84,99c7bd43-4ade-4331-a15c-fd7435c1fc15,Maddy
helga,H-85,1f34bd33-0b34-4f21-9a40-aedb4c0e5b10,Maddy
helga,H-86,3da5fe0c-3653-4e68-b59a-a98b5de54eec,Maddy
helga,H-87,c3909b9d-d413-494b-b4af-9d7356c23a13,Maddy
helga,H-88,50e59c70-9e44-4c37-a4bb-4e188a61ea80,Maddy
helga,H-89,6c9d65ab-17fd-4c75-9cde-731f1e6b37cf,Maddy
helga,H-90,d08e9d1d-f36f-4136-b41b-ebad442c9750,Maddy
helga,H-91,abdb2015-246c-4d57-af3e-0a3428b43c35,Maddy
helga,H-92,5b0909bc-b812-42f6-87e4-3a6a7ccba0c1,Maddy
helga,H-93,13471df9-697f-4560-b170-3eb7b42460d1,Magda
helga,H-94,400e80c8-cd3b-43fe-84dd-cd8f9f156ad8,Magda
helga,H-95,e040e742-d2a3-41b9-a171-93d16930f2a7,Maddy
helga,H-97,20e260e6-c422-42f5-bb72-b0ee824410ae,Maddy
helga,H-98,373650dd-9969-4153-a7ee-bfccef6da857,Maddy
helga,H-99,5bcd6483-16e3-4819-89dc-3a157ff7e099,Maddy
helga,H-100,916e0624-9fd2-45bb-acef-d4611478a2d7,Maddy
helga,H-101,53946504-fe5a-4591-892d-2e0e22c9c55d,Maddy
helga,H-102,72407850-04da-48a7-856b-6ac2781baed0,Maddy
helga,H-103,0eea6359-529e-4956-9627-d4dfae0a2541,Maddy
helga,H-104,da866757-624f-4c23-8999-fb3bb430442c,Maddy
helga,H-105,b7b58ee4-4002-4710-a327-cb33e3bf3dde,Maddy
helga,H-106,d1aba3a6-b41a-4962-8a49-768a0c32ec48,Maddy
helga,H-107,6f960d1e-0a17-4dff-b93a-682578fb891e,Maddy
helga,H-108,ea834f5f-7aba-4717-9a17-43bb9c7c2dd7,Maddy
helga,H-109,f81d2e73-760f-435a-9437-31a2bd6997e0,Maddy
helga,H-110,ede676f3-6ce1-4531-9fd2-60a9d288e6dc,Maddy
helga,H-111,d33c79a7-90ac-422e-9627-859b216c3616,Maddy
